personagem,posicao,linha,coluna,arquivo,expressao_principal,interpretacao_visual
morena,1,1,1,por_personagem/morena/01_feliz_sorrindo.png,Feliz / sorrindo,"Expressão alegre, sorriso aberto; em algumas cartelas também sugere abraço/acolhimento"
morena,2,1,2,por_personagem/morena/02_rindo.png,Rindo,"Risada evidente, olhos fechados ou gesto de humor"
morena,3,1,3,por_personagem/morena/03_muito_empolgada.png,MUITO empolgada / MUITO animada,"Entusiasmo forte, punhos erguidos e/ou marcas de exclamação"
morena,4,1,4,por_personagem/morena/04_piscando_brincando.png,Piscando / brincando,"Piscadinha, finger-gun/gesto brincalhão; também funciona para provocação leve"
morena,5,1,5,por_personagem/morena/05_carinhosa_fofa.png,Carinhosa / fofa,"Pose doce, rosto apoiado nas mãos e/ou corações"
morena,6,1,6,por_personagem/morena/06_apaixonada_encantada.png,Apaixonada / encantada,"Coração grande/corações, expressão afetiva"
morena,7,2,1,por_personagem/morena/07_aprovando_concordando.png,Aprovando / concordando,Joinha/gesto positivo
morena,8,2,2,por_personagem/morena/08_surpresa.png,Surpresa,"Olhos abertos, boca aberta e exclamação"
morena,9,2,3,por_personagem/morena/09_chocada.png,Chocada,"Surpresa intensa/pânico, mãos abertas e/ou gotas de suor"
morena,10,2,4,por_personagem/morena/10_confusa.png,Confusa,Interrogação e gesto de dúvida
morena,11,2,5,por_personagem/morena/11_pensativa.png,Pensativa,"Mão no queixo, olhar reflexivo"
morena,12,2,6,por_personagem/morena/12_curiosa.png,Curiosa,Inclinação da cabeça/olhar investigativo
morena,13,3,1,por_personagem/morena/13_concentrada_seria.png,Concentrada / séria,"Expressão focada, neutra ou mais firme"
morena,14,3,2,por_personagem/morena/14_negando_desaprovando.png,Negando / desaprovando,Braços em X/gesto explícito de não
morena,15,3,3,por_personagem/morena/15_envergonhada_timida.png,Envergonhada,Rubor e rosto parcialmente escondido; também funciona para timidez
morena,16,3,4,por_personagem/morena/16_triste_chateada.png,Triste,Olhar baixo/teary/abraçando-se; também funciona para chateada
morena,17,3,5,por_personagem/morena/17_brava_irritada.png,Brava / irritada,Sobrancelhas cerradas e símbolo de raiva
morena,18,3,6,por_personagem/morena/18_frustrada.png,Frustrada,Mãos na cabeça/cabelo e expressão de estresse
morena,19,4,1,por_personagem/morena/19_preocupada_ansiosa.png,Preocupada,Mãos juntas/olhar apreensivo; também aproxima nervosa/ansiosa
morena,20,4,2,por_personagem/morena/20_com_medo_assustada.png,Com medo / assustada,"Olhos arregalados, tensão e gotas de suor"
morena,21,4,3,por_personagem/morena/21_cansada_com_sono.png,Cansada / com sono,Bocejo/olhos semicerrados
morena,22,4,4,por_personagem/morena/22_entediada.png,Entediada,Cabeça apoiada na mão/olhar sem energia
morena,23,4,5,por_personagem/morena/23_pedindo_desculpas.png,Pedindo desculpas,Mãos juntas/gesto de desculpa ou pedido
morena,24,4,6,por_personagem/morena/24_ops_erro_leve.png,Modo “ops” / erro leve,"Pose descontraída/sem graça, frequentemente mão atrás da cabeça ou piscadinha"
morena,25,5,1,por_personagem/morena/25_comemorando.png,Comemorando,Braços erguidos/confetes/festa
morena,26,5,2,por_personagem/morena/26_tive_uma_ideia.png,Tive uma ideia,Lâmpada/indicador visual de ideia
morena,27,5,3,por_personagem/morena/27_explicando_algo.png,Explicando algo,Mãos abertas/apresentando uma explicação
morena,28,5,4,por_personagem/morena/28_escutando_atenta.png,Escutando / atenta,Mão na orelha/pose de atenção
morena,29,5,5,por_personagem/morena/29_entendi.png,Entendi,Sinal de OK/expressão de compreensão
morena,30,5,6,por_personagem/morena/30_nao_entendi.png,Não entendi,Encolher de ombros/interrogações
morena,31,6,1,por_personagem/morena/31_elogiando_usuario.png,Elogiando o usuário,Joinhas/sparkles/elogio visual forte
morena,32,6,2,por_personagem/morena/32_motivando_incentivando.png,Motivando / incentivando,Punho erguido/gesto de incentivo
morena,33,6,3,por_personagem/morena/33_confortando.png,Confortando,Mão estendida/gesto acolhedor
morena,34,6,4,por_personagem/morena/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,"Postura determinada, punho fechado e expressão confiante"
morena,35,6,5,por_personagem/morena/35_analisando.png,Modo “analisando”,Tablet/clipboard/pose de trabalho e análise
morena,36,6,6,por_personagem/morena/36_segredo_sussurro.png,Modo “segredo / sussurro”,Mão perto da boca/pose de confidência
loira,1,1,1,por_personagem/loira/01_feliz_sorrindo.png,Feliz / sorrindo,"Expressão alegre, sorriso aberto; em algumas cartelas também sugere abraço/acolhimento"
loira,2,1,2,por_personagem/loira/02_rindo.png,Rindo,"Risada evidente, olhos fechados ou gesto de humor"
loira,3,1,3,por_personagem/loira/03_muito_empolgada.png,MUITO empolgada / MUITO animada,"Entusiasmo forte, punhos erguidos e/ou marcas de exclamação"
loira,4,1,4,por_personagem/loira/04_piscando_brincando.png,Piscando / brincando,"Piscadinha, finger-gun/gesto brincalhão; também funciona para provocação leve"
loira,5,1,5,por_personagem/loira/05_carinhosa_fofa.png,Carinhosa / fofa,"Pose doce, rosto apoiado nas mãos e/ou corações"
loira,6,1,6,por_personagem/loira/06_apaixonada_encantada.png,Apaixonada / encantada,"Coração grande/corações, expressão afetiva"
loira,7,2,1,por_personagem/loira/07_aprovando_concordando.png,Aprovando / concordando,Joinha/gesto positivo
loira,8,2,2,por_personagem/loira/08_surpresa.png,Surpresa,"Olhos abertos, boca aberta e exclamação"
loira,9,2,3,por_personagem/loira/09_chocada.png,Chocada,"Surpresa intensa/pânico, mãos abertas e/ou gotas de suor"
loira,10,2,4,por_personagem/loira/10_confusa.png,Confusa,Interrogação e gesto de dúvida
