personagem,ordem_solicitada,reacao_pedida,imagem_mais_proxima,expressao_primaria_da_imagem,observacao
morena,1,Feliz / sorrindo,por_personagem/morena/01_feliz_sorrindo.png,Feliz / sorrindo,Correspondência direta
morena,2,Rindo,por_personagem/morena/02_rindo.png,Rindo,Correspondência direta
morena,3,Empolgada / animada,por_personagem/morena/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
morena,4,MUITO empolgada / MUITO animada,por_personagem/morena/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência direta
morena,5,Orgulhosa / confiante,por_personagem/morena/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
morena,6,Carinhosa / fofa,por_personagem/morena/05_carinhosa_fofa.png,Carinhosa / fofa,Correspondência direta
morena,7,Apaixonada / encantada,por_personagem/morena/06_apaixonada_encantada.png,Apaixonada / encantada,Correspondência direta
morena,8,Piscando / brincando,por_personagem/morena/04_piscando_brincando.png,Piscando / brincando,Correspondência direta
morena,9,Travessa / provocando,por_personagem/morena/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
morena,10,Surpresa,por_personagem/morena/08_surpresa.png,Surpresa,Correspondência direta
morena,11,Chocada,por_personagem/morena/09_chocada.png,Chocada,Correspondência direta
morena,12,Confusa,por_personagem/morena/10_confusa.png,Confusa,Correspondência direta
morena,13,Pensativa,por_personagem/morena/11_pensativa.png,Pensativa,Correspondência direta
morena,14,Curiosa,por_personagem/morena/12_curiosa.png,Curiosa,Correspondência direta
morena,15,Concentrada / séria,por_personagem/morena/13_concentrada_seria.png,Concentrada / séria,Correspondência direta
morena,16,Aprovando / concordando,por_personagem/morena/07_aprovando_concordando.png,Aprovando / concordando,Correspondência direta
morena,17,Negando / desaprovando,por_personagem/morena/14_negando_desaprovando.png,Negando / desaprovando,Correspondência direta
morena,18,Envergonhada,por_personagem/morena/15_envergonhada_timida.png,Envergonhada,Correspondência direta
morena,19,Tímida,por_personagem/morena/15_envergonhada_timida.png,Envergonhada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
morena,20,Triste,por_personagem/morena/16_triste_chateada.png,Triste,Correspondência direta
morena,21,Chateada,por_personagem/morena/16_triste_chateada.png,Triste,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
morena,22,Brava / irritada,por_personagem/morena/17_brava_irritada.png,Brava / irritada,Correspondência direta
morena,23,Frustrada,por_personagem/morena/18_frustrada.png,Frustrada,Correspondência direta
morena,24,Preocupada,por_personagem/morena/19_preocupada_ansiosa.png,Preocupada,Correspondência direta
morena,25,Com medo / assustada,por_personagem/morena/20_com_medo_assustada.png,Com medo / assustada,Correspondência direta
morena,26,Cansada / com sono,por_personagem/morena/21_cansada_com_sono.png,Cansada / com sono,Correspondência direta
morena,27,Entediada,por_personagem/morena/22_entediada.png,Entediada,Correspondência direta
